timestamp,distance_cm,altitude_angle_deg,azimuth_angle_deg,scan_repeat
1760412817.5315378,12.5,145,5,0
1760412817.5739198,13.0,144,5,0
1760412817.616553,13.0,143,5,0
1760412817.6584058,13.0,142,5,0
1760412817.700312,13.0,141,5,0
1760412817.741804,13.0,140,5,0
1760412817.7833781,12.0,139,5,0
1760412817.8250327,12.0,138,5,0
1760412817.8675413,12.0,137,5,0
1760412817.9097724,12.0,136,5,0
1760412817.9518793,12.0,135,5,0
1760412817.994023,12.0,134,5,0
1760412818.0362048,12.0,133,5,0
1760412818.078217,12.0,132,5,0
1760412818.1195483,12.0,131,5,0
1760412818.160775,12.0,130,5,0
1760412818.2022946,12.0,129,5,0
1760412818.2437677,12.0,128,5,0
1760412818.2853072,12.0,127,5,0
1760412818.3268347,12.0,126,5,0
1760412818.3690858,12.0,125,5,0
1760412818.4113877,12.0,124,5,0
1760412818.4536037,12.0,123,5,0
1760412818.4955885,12.0,122,5,0
1760412818.5373578,12.0,121,5,0
1760412818.5787942,12.25,120,5,0
1760412818.6202998,13.0,119,5,0
1760412818.6616058,13.0,118,5,0
1760412818.7033138,13.0,117,5,0
1760412818.7450583,13.0,116,5,0
1760412818.786804,13.0,115,5,0
1760412818.8294713,13.0,114,5,0
1760412818.8718114,13.0,113,5,0
1760412818.913842,14.0,112,5,0
1760412818.9556642,14.0,111,5,0
1760412818.9975817,15.0,110,5,0
1760412819.0390189,15.0,109,5,0
1760412819.080794,15.0,108,5,0
1760412819.122246,15.0,107,5,0
1760412819.1634617,15.0,106,5,0
1760412819.2046418,15.0,105,5,0
1760412819.2456696,15.0,104,5,0
1760412819.2866287,15.0,103,5,0
1760412819.3277645,15.0,102,5,0
1760412819.3688836,15.0,101,5,0
1760412819.410317,15.0,100,5,0
1760412819.4523244,15.0,99,5,0
1760412819.4947755,14.5,98,5,0
1760412819.5363622,13.75,97,5,0
1760412819.5780895,12.0,96,5,0
1760412819.6198514,12.0,95,5,0
1760412819.6616628,12.0,94,5,0
1760412819.7035363,11.0,93,5,0
1760412819.7449708,11.0,92,5,0
1760412819.7861803,11.0,91,5,0
1760412819.8282163,11.0,90,6,0
1760412819.8692508,11.0,91,6,0
1760412819.9102993,10.25,92,6,0
1760412819.951387,10.75,93,6,0
1760412819.9922707,11.0,94,6,0
1760412820.03314,11.0,95,6,0
1760412820.0740445,11.0,96,6,0
1760412820.1149642,11.75,97,6,0
1760412820.1558805,12.0,98,6,0
1760412820.1976762,12.5,99,6,0
1760412820.2395349,13.6,100,6,0
1760412820.2807844,15.0,101,6,0
1760412820.322522,15.0,102,6,0
1760412820.3642073,15.0,103,6,0
1760412820.4058218,15.0,104,6,0
1760412820.4474816,15.5,105,6,0
1760412820.4893167,15.0,106,6,0
1760412820.5307705,15.0,107,6,0
1760412820.5723217,15.0,108,6,0
1760412820.613812,15.0,109,6,0
1760412820.6549153,15.0,110,6,0
1760412820.696159,15.0,111,6,0
1760412820.7377317,15.0,112,6,0
1760412820.7791564,15.0,113,6,0
1760412820.8207548,14.25,114,6,0
1760412820.8633041,14.0,115,6,0
1760412820.9053683,14.0,116,6,0
1760412820.947273,13.0,117,6,0
1760412820.9894059,13.0,118,6,0
1760412821.0314963,13.0,119,6,0
1760412821.0731518,13.0,120,6,0
1760412821.1149533,13.0,121,6,0
1760412821.1570885,13.0,122,6,0
1760412821.1988635,13.0,123,6,0
1760412821.241318,12.0,124,6,0
1760412821.28336,12.0,125,6,0
1760412821.32589,12.0,126,6,0
1760412821.3677132,12.0,127,6,0
1760412821.4095874,12.0,128,6,0
1760412821.4509583,12.0,129,6,0
1760412821.492617,12.0,130,6,0
1760412821.5342207,12.0,131,6,0
1760412821.5754154,12.0,132,6,0
1760412821.6167202,12.0,133,6,0
1760412821.6586099,12.0,134,6,0
1760412821.700261,12.0,135,6,0
1760412821.7433152,12.2,136,6,0
1760412821.7852657,13.0,137,6,0
1760412821.82734,12.75,138,6,0
1760412821.8697646,12.75,139,6,0
1760412821.9115224,12.0,140,6,0
1760412821.9532006,12.0,141,6,0
1760412821.99456,12.0,142,6,0
1760412822.036164,12.0,143,6,0
1760412822.0776236,12.5,144,6,0
1760412822.1196733,13.0,145,7,0
1760412822.1622615,13.6,144,7,0
1760412822.2043068,14.0,143,7,0
1760412822.2464082,14.0,142,7,0
1760412822.288548,13.25,141,7,0
1760412822.3303227,13.0,140,7,0
1760412822.3722277,12.5,139,7,0
1760412822.4135242,12.0,138,7,0
1760412822.4552677,12.0,137,7,0
1760412822.497263,12.0,136,7,0
1760412822.5398195,12.0,135,7,0
1760412822.5817254,12.0,134,7,0
1760412822.6238909,12.0,133,7,0
1760412822.666485,12.25,132,7,0
1760412822.7084546,12.25,131,7,0
1760412822.7504978,12.0,130,7,0
1760412822.7919703,12.0,129,7,0
1760412822.8338258,12.0,128,7,0
1760412822.8756373,12.0,127,7,0
1760412822.9181547,12.0,126,7,0
1760412822.9599144,12.0,125,7,0
1760412823.0018413,12.0,124,7,0
1760412823.0435917,12.0,123,7,0
1760412823.0853887,12.0,122,7,0
1760412823.1274843,12.75,121,7,0
1760412823.1690028,13.0,120,7,0
1760412823.2106304,13.0,119,7,0
1760412823.252416,13.0,118,7,0
1760412823.2942386,13.0,117,7,0
1760412823.3360496,13.0,116,7,0
1760412823.3784678,13.0,115,7,0
1760412823.4204373,14.0,114,7,0
1760412823.4620163,14.0,113,7,0
1760412823.504011,14.0,112,7,0
1760412823.545931,14.25,111,7,0
1760412823.5878103,15.0,110,7,0
1760412823.629681,15.0,109,7,0
1760412823.6709342,15.0,108,7,0
1760412823.7128193,15.0,107,7,0
1760412823.7546325,14.75,106,7,0
1760412823.797415,14.4,105,7,0
1760412823.8394742,14.0,104,7,0
1760412823.8816957,14.25,103,7,0
1760412823.9237046,14.25,102,7,0
1760412823.9659405,14.0,101,7,0
1760412824.007505,13.75,100,7,0
1760412824.0492618,14.0,99,7,0
1760412824.0907319,13.25,98,7,0
1760412824.1324818,13.0,97,7,0
1760412824.1739743,12.25,96,7,0
1760412824.2153692,12.0,95,7,0
1760412824.258007,11.4,94,7,0
1760412824.3001845,11.0,93,7,0
1760412824.3420386,11.0,92,7,0
1760412824.384135,11.0,91,7,0
1760412824.426075,11.0,90,8,0
1760412824.4680474,11.0,91,8,0
1760412824.509915,10.75,92,8,0
1760412824.5520873,11.0,93,8,0
1760412824.5937939,11.0,94,8,0
1760412824.6364,11.0,95,8,0
1760412824.6783428,11.0,96,8,0
1760412824.7206504,12.0,97,8,0
1760412824.7632744,12.0,98,8,0
1760412824.8056378,12.0,99,8,0
1760412824.8472202,12.75,100,8,0
1760412824.8892157,13.5,101,8,0
1760412824.9307814,14.0,102,8,0
1760412824.9735045,14.2,103,8,0
1760412825.0153656,15.0,104,8,0
1760412825.0574982,15.0,105,8,0
1760412825.099495,15.0,106,8,0
1760412825.1413586,15.0,107,8,0
1760412825.1833982,15.0,108,8,0
1760412825.2253098,15.0,109,8,0
1760412825.2670116,15.0,110,8,0
1760412825.3074708,15.0,111,8,0
1760412825.3501348,15.0,112,8,0
1760412825.3925486,15.0,113,8,0
1760412825.4347944,14.75,114,8,0
1760412825.477541,14.0,115,8,0
1760412825.519499,14.0,116,8,0
1760412825.561204,13.25,117,8,0
1760412825.6034029,13.0,118,8,0
1760412825.6451154,13.0,119,8,0
1760412825.6868439,13.0,120,8,0
1760412825.7288897,13.0,121,8,0
1760412825.7713962,13.0,122,8,0
1760412825.813559,13.0,123,8,0
1760412825.8556113,12.75,124,8,0
1760412825.8977294,12.0,125,8,0
1760412825.9400346,12.0,126,8,0
